sale_id,class_id,sale_quantity,brand_id,compartment,type_id,level_id,department_id,TR,gearbox_type,displacement,if_charging,price_level,price,driven_type_id,fuel_type_id,newenergy_type_id,emission_standards_id,if_MPV_id,if_luxurious_id,power,cylinder_number,engine_torque,car_length,car_width,car_height,total_quality,equipment_quality,rated_passenger,wheelbase,front_track,rear_track
36,482497,125,872,2,1,2,4,8,AT,2,T,35-50W,46.1,3,1,1,1,2,2,165,4,350,4629,1898,1655,2365,1900,5,2807,1617,1614
37,614059,10,953,3,2,2,4,7,AT,2,T,35-50W,36.7,2,1,1,1,2,2,135,4,300,4783,1810,1442,2120,1640,5,2920,1572,1538
38,527809,28,953,3,2,4,4,9,AT,2,T,35-50W,61.8,2,1,1,1,2,2,135,4,300,5065,1860,1467,2305,1770,5,3079,1596,1600
39,472603,17,985,3,2,1,6,5,MT,1.8,L,10-15W,12.5,1,1,1,1,2,1,102,4,172,4750,1820,1488,1730,1315,5,2730,1555,1550
40,124140,180,783,2,1,1,1,6,AT,1.8,T,10-15W,10.6,1,1,1,1,2,1,130,4,230,4650,1850,1695,2075,1665,5,2700,1565,1565
41,472603,118,985,3,2,1,6,6,AT,1.6,T,10-15W,13.5,1,1,1,1,2,1,123,4,245,4750,1820,1488,1820,1415,5,2730,1555,1550
42,291514,30,783,2,1,3,1,4,AT,1.6,L,8-10W,8.7,1,1,1,1,2,1,92,4,160,4160,1810,1635,1665,1290,5,2560,1560,1560
43,692703,104,807,2,1,1,1,5,MT,1.5,T,10-15W,13.3,1,1,1,1,2,1,112,4,235,4510,1852,1677,1900,1465,5,2650,1575,1570
44,693436,9,12,3,2,1,1,6,DCT,1.3,T,10-15W,9.3,1,1,1,1,2,1,95,4,185,4725,1802,1478,1755,1380,5,2700,1551,1546
45,649213,97,75,3,2,2,2,8,AT,2,T,25-35W,29.8,2,1,1,1,2,2,200,4,400,4730,1824,1426,1996,1600,5,2860,1535,1578
46,854079,8,537,3,2,1,5,5,MT,1.8,L,10-15W,12.5,1,1,1,1,2,1,100,4,169,4664,1750,1505,1665,1251,5,2650,1500,1485
47,453752,67,814,3,2,2,4,8,AT,2,T,35-50W,29.2,2,1,1,1,2,2,135,4,270,4760,1811,1455,2025,1615,5,2920,1537,1576
48,587678,116,537,2,1,3,5,0,CVT,1.8,L,15-20W,14,1,1,1,1,2,1,100,4,169,4294,1772,1605,1770,1302,5,2610,1535,1540
49,745137,123,637,3,2,1,2,6,AT,1.5,T,10-15W,13.2,1,1,1,1,2,1,135,4,240,4534,1823,1483,1782,1407,5,2648,1553,1544
50,924154,319,637,3,2,1,2,5,MT,1.5,L,10-15W,7.5,1,1,1,1,2,1,85,4,142,4587,1825,1490,1630,1255,5,2687,1562,1548
51,628041,20,750,2,2,1,4,7,DCT,1.4,T,15-20W,11.9,1,1,1,1,2,1,110,4,250,4255,1799,1452,1780,1305,5,2637,1549,1520
52,437598,83,638,2,1,1,1,6,MT,1.5,T,10-15W,13,1,1,1,1,2,1,110,4,210,4549,1835,1700,2140,1600,5,2720,1565,1565
53,378356,163,497,3,2,1,1,0,CVT,1.5,L,8-10W,7.2,1,1,1,1,2,1,85,4,141,4572,1825,1482,1672,1297,5,2670,1556,1542
54,209945,106,814,3,2,4,4,8,AT,2,T,35-50W,54.2,2,1,1,1,2,2,150,4,270,5055,1860,1491,2230,1770,5,3108,1600,1627
55,732758,77,814,2,1,1,4,8,AT,2,T,25-35W,28,1,1,1,1,2,2,157,4,280,4565,1821,1624,2095,1607,5,2780,1561,1562
56,290854,205,537,2,1,1,5,0,CVT,2,L,15-20W,21,1,1,1,1,2,1,114,4,190,4585,1820,1685,2010,1525,5,2620,1580,1580
57,124140,203,783,2,1,1,1,6,AT,1.8,T,10-15W,13.3,1,1,1,1,2,1,130,4,230,4650,1850,1695,2075,1665,5,2700,1565,1565
58,745137,41,637,3,2,1,2,6,AT,1,T,10-15W,13.2,1,1,1,1,2,1,94,3,170,4534,1823,1483,1737,1362,5,2648,1553,1544
59,245609,44,750,2,2,1,4,6,AT,1.6,L,15-20W,15.4,1,1,1,1,2,1,81,4,155,4348,1807,1574,1780,1320,5,2680,1549,1521
60,125403,66,761,2,3,2,2,6,AT,2.4,L,35-50W,24.8,1,1,1,1,2,1,120,4,225,5213,1847,1750,2380,1840,7,3088,1586,1596
61,356986,56,637,3,2,2,2,6,AT,2,T,20-25W,18.4,1,1,1,1,2,1,152,4,340,4860,1854,1480,2034,1659,5,2850,1578,1574
62,347384,18,831,3,2,1,3,6,MT,1.6,L,10-15W,9.3,1,1,1,1,2,1,93.8,4,155.5,4600,1780,1445,1700,1230,5,2700,1555,1568
63,905745,6,761,2,1,3,2,6,MT,1.4,T,10-15W,11.9,1,1,1,1,2,1,103,4,200,4278,1781,1648,1815,1405,5,2555,1540,1540
64,510309,26,953,2,1,2,4,9,AT,2,T,35-50W,57.9,3,1,1,1,2,2,135,4,300,4661,1898,1664,2315,1850,5,2873,1617,1613
65,472603,126,985,3,2,1,6,6,AT,1.6,T,10-15W,12.5,1,1,1,1,2,1,123,4,245,4750,1820,1488,1820,1415,5,2730,1555,1550
66,654134,111,290,2,1,1,7,5,MT,1.8,L,8-10W,9.2,1,1,1,1,2,1,101,4,186,4620,1820,1750,1780,1370,5,2750,1554,1549
67,290854,53,537,2,1,1,5,0,CVT,2.4,L,15-20W,21,1,1,1,1,2,1,137,4,243,4585,1820,1685,2100,1590,5,2620,1580,1580
68,540712,9,12,2,1,1,1,6,AT,1.8,T,15-20W,14.4,3,1,1,1,2,1,135,4,285,4519,1831,1694,2075,1700,5,2670,1560,1550
69,628041,330,750,2,2,1,4,7,DCT,1.4,T,15-20W,11.9,1,1,1,1,2,1,96,4,225,4255,1799,1452,1760,1280,5,2637,1549,1520
70,265980,6,783,2,3,3,1,5,MT,1.3,L,5-8W,-,2,1,1,1,1,1,68,4,120,4360,1685,1820,1835,1235,7月8日,2750,1425,1435
71,103507,12,831,2,1,3,3,6,MT,1.6,L,10-15W,17.8,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1630,1720,1275,5,2590,1557,1570
72,516750,117,98,2,3,3,1,5,MT,1.5,L,5-8W,-,2,1,1,1,1,1,82,4,146.5,4530,1721,1730,1850,1319,7月8日,2720,1430,1450
73,654134,7,290,2,1,1,7,5,MT,1.8,L,8-10W,9.2,1,1,1,1,2,1,101,4,186,4620,1820,1750,1780,1431,5,2750,1554,1549
74,412240,291,783,2,1,2,1,5,MT,1.6,L,8-10W,7.6,2,1,1,1,2,1,86,4,150,4680,1800,1750,1975,1450,7,2780,1495,1505
75,591790,8,106,3,2,1,5,5,MT,1.6,L,10-15W,10.1,1,1,1,1,2,1,90,4,154,4630,1775,1480,1770,1250,5,2700,1535,1535
76,350259,174,750,3,2,1,4,7,DCT,1.4,T,15-20W,18.7,1,1,1,1,2,1,96,4,225,4598,1826,1425,1825,1325,5,2656,1580,1554
77,713651,56,537,3,2,1,5,0,CVT,1.5,T,10-15W,17,1,1,1,1,2,1,130,4,220,4649,1800,1416,1730,1306,5,2700,1547,1563
78,671482,11,637,2,1,3,2,5,MT,1,T,10-15W,7.7,1,1,1,1,2,1,94,3,170,4280,1785,1658,1665,1290,5,2530,1527,1533
79,871642,6,637,2,1,1,2,6,AT,1.5,T,20-25W,25.2,3,1,1,1,2,1,135,4,240,4524,1838,1701,2092,1717,5,2640,1563,1565
80,905745,24,761,2,1,3,2,6,MT,1.4,T,10-15W,13.2,1,1,1,1,2,1,103,4,200,4278,1781,1648,1815,1405,5,2555,1540,1540
81,221795,91,872,2,1,1,4,7,DCT,2,T,25-35W,28.9,1,1,1,1,2,2,132,4,320,4398,1841,1591,2105,1590,5,2603,1547,1555
82,209945,23,814,3,2,4,4,8,AT,2,T,35-50W,54.2,2,1,1,1,2,2,200,4,350,5055,1860,1491,2250,1815,5,3108,1600,1627
83,510309,10,953,2,1,2,4,9,AT,2,T,35-50W,44.3,3,1,1,1,2,2,180,4,370,4661,1898,1664,2405,1890,5,2873,1617,1613
84,540712,28,12,2,1,1,1,6,MT,2,L,15-20W,14.4,1,1,1,1,2,1,104,4,178,4519,1831,1694,1925,1550,5,2670,1560,1550
85,692703,157,807,2,1,1,1,7,DCT,1.3,T,10-15W,13.3,1,1,1,1,2,1,101,4,202,4510,1852,1677,1900,1475,5,2650,1575,1570
86,492952,55,692,3,2,1,5,0,CVT,1.6,L,10-15W,10.3,1,1,1,1,2,1,93,4,154,4683,1780,1465,1670,1228,5,2700,1540,1540
87,786351,423,836,3,2,1,3,6,AT,1.6,L,10-15W,10.6,1,1,1,1,2,1,93.8,4,155.5,4570,1775,1445,1650,1275,5,2700,1549,1562
88,580634,28,692,2,2,1,5,0,CVT,1.6,L,10-15W,11.7,1,1,1,1,2,1,93,4,154,4393,1766,1524,1655,1255,5,2700,1530,1530
89,496459,326,497,2,1,3,1,5,MT,1.6,L,5-8W,8.2,1,1,1,1,2,1,93,4,160,4420,1760,1670,1733,1358,5,2510,1500,1495
90,321683,26,750,3,2,1,4,7,DCT,1.4,T,15-20W,13.2,1,1,1,1,2,1,110,4,250,4655,1780,1453,1840,1395,5,2651,1535,1532
91,714152,78,750,2,1,1,4,6,AT,1.8,T,25-35W,17.4,3,1,1,1,2,1,118,4,250,4506,1809,1685,2160,1710,5,2684,1569,1571
92,871642,19,637,2,1,1,2,6,AT,1.5,T,20-25W,25.2,1,1,1,1,2,1,133,4,240,4524,1838,1685,1967,1592,5,2690,1563,1565
93,735971,34,761,3,2,1,2,7,DCT,1.4,T,10-15W,10.5,1,1,1,1,2,1,103,4,200,4587,1798,1463,1730,1295,5,2640,1538,1541
94,290854,9,537,2,1,1,5,0,CVT,2.4,L,15-20W,20.9,3,1,1,1,2,1,137,4,243,4585,1820,1685,2100,1640,5,2620,1580,1580
95,693436,9,12,3,2,1,1,6,DCT,1.8,L,10-15W,7.6,1,1,1,1,2,1,98,4,170,4725,1802,1478,1715,1340,5,2700,1551,1546
96,492952,40,692,3,2,1,5,5,MT,1.6,L,10-15W,13.2,1,1,1,1,2,1,93,4,154,4683,1780,1465,1620,1203,5,2700,1540,1540
97,265980,294,783,2,3,3,1,5,MT,1.5,L,5-8W,-,2,1,1,1,1,1,78,4,135,4360,1685,1820,1925,1325,7月8日,2750,1425,1435
98,384924,328,761,3,2,2,2,7,DCT,1.5,T,20-25W,24.7,1,1,1,1,2,1,120,4,252,5018,1866,1459,1960,1510,5,2905,1599,1602
99,304458,91,106,3,2,1,5,0,CVT,1.8,L,10-15W,10.4,1,2,2,1,2,1,73,4,142,4630,1775,1485,1845,1375,5,2700,1535,1535
100,350259,8,750,3,2,1,4,7,DCT,2,T,15-20W,18.7,1,1,1,1,2,1,162,4,350,4610,1826,1425,1975,1475,5,2656,1580,1554
101,559132,28,692,3,2,2,5,0,CVT,2,L,20-25W,18,1,1,1,1,2,1,104,4,190,4868,1830,1490,1870,1458,5,2775,1585,1585
102,472603,84,985,3,2,1,6,6,AT,1.2,T,10-15W,12.5,1,1,1,1,2,1,100,3,230,4750,1820,1488,1769,1320,5,2730,1555,1550
103,125403,25,761,2,3,2,2,6,AT,2.4,L,35-50W,34.2,1,1,1,1,2,1,120,4,225,5213,1847,1750,2380,1840,7,3088,1586,1596
104,540712,47,12,2,1,1,1,6,AT,1.8,T,15-20W,11.3,3,1,1,1,2,1,135,4,285,4519,1831,1694,2075,1700,5,2670,1560,1550
105,378356,266,497,3,2,1,1,0,CVT,1.5,L,8-10W,8.8,1,1,1,1,2,1,85,4,141,4572,1825,1482,1672,1297,5,2670,1556,1542
106,482497,125,872,2,1,2,4,8,AT,2,T,35-50W,46.1,3,1,1,1,2,2,169,4,350,4629,1898,1655,2365,1900,5,2807,1617,1614
107,739296,78,290,2,3,3,7,5,MT,1.5,L,5-8W,8.6,1,1,1,1,2,1,82,4,146.5,4685,1785,1715,1920,1435,6月7日,2750,1530,1525
108,978089,298,12,3,2,1,1,5,MT,1.5,L,5-8W,7.4,1,1,1,1,2,1,80,4,140,4631,1789,1470,1625,1250,5,2650,1502,1492
109,693436,89,12,3,2,1,1,6,DCT,1.3,T,10-15W,7.6,1,1,1,1,2,1,95,4,185,4725,1802,1478,1755,1380,5,2700,1551,1546
110,745137,156,637,3,2,1,2,5,MT,1.6,L,10-15W,9.8,1,1,1,1,2,1,94,4,159,4534,1823,1483,1681,1306,5,2648,1553,1544
111,289386,20,813,3,2,1,5,6,AT,2,L,10-15W,15,1,1,1,1,2,1,116,4,202,4582,1795,1458,1855,1343,5,2700,1555,1560
112,580634,37,692,2,2,1,5,0,CVT,1.6,L,10-15W,11.7,1,1,1,1,2,1,93,4,154,4393,1766,1524,1625,1220,5,2700,1540,1540
113,392593,46,497,2,1,1,1,0,CVT,2,L,10-15W,11.5,1,1,1,1,2,1,90,4,180,4470,1837,1670,1807,1432,5,2670,1550,1550
114,963845,14,836,2,1,3,3,6,MT,1.6,L,10-15W,13,1,1,1,1,2,1,91.6,4,150.7,4270,1780,1622,1645,1270,5,2590,1557,1570
115,654134,429,290,2,1,1,7,6,MT,1.5,T,8-10W,9.2,1,1,1,1,2,1,110,4,230,4620,1820,1750,1850,1435,5,2750,1554,1549
116,739296,342,290,2,3,3,7,6,MT,1.5,T,5-8W,7,1,1,1,1,2,1,110,4,230,4710,1785,1745,1955,1460,6月7日,2750,1530,1525
117,580470,30,750,3,2,1,4,7,DCT,1.4,T,10-15W,10.6,1,1,1,1,2,1,96,4,225,4562,1793,1468,1790,1310,5,2614,1518,1525
118,527809,105,953,3,2,4,4,9,AT,2,T,35-50W,47.5,2,1,1,1,2,2,180,4,370,5065,1860,1467,2330,1800,5,3079,1596,1600
119,576298,47,304,2,3,2,1,5,MT,1.5,L,5-8W,7.1,2,1,1,1,2,1,82,4,140,4680,1695,1940,2080,1480,7月8日,2800,1445,1420
120,741152,435,761,2,1,1,2,7,DCT,1.5,T,20-25W,24.3,1,1,1,1,2,1,119,4,250,4667,1839,1660,2050,1575,5,2750,1584,1588
121,682651,15,872,3,2,2,4,7,DCT,2,T,35-50W,37.2,3,1,1,1,2,2,165,4,350,4761,1826,1439,2120,1710,5,2869,1564,1550
122,401052,43,953,2,1,1,4,7,DCT,2,T,25-35W,33.8,3,1,1,1,2,2,135,4,300,4431,1804,1535,1990,1567,5,2699,1558,1549
123,349023,194,450,3,2,1,2,6,AT,1.5,L,10-15W,14,1,1,1,1,2,1,84,4,146,4666,1807,1460,1700,1270,5,2700,1541,1561
124,526401,28,836,3,2,1,3,7,DCT,1.4,T,10-15W,11.4,1,1,1,1,2,1,95.6,4,210.8,4610,1800,1450,1780,1275,5,2700,1555,1564
125,175962,63,750,3,2,1,4,5,MT,1.6,L,10-15W,8.6,1,1,1,1,2,1,81,4,155,4475,1706,1469,1595,1115,5,2603,1460,1500
126,379265,292,290,2,2,3,7,5,MT,1.2,L,5WL,4,1,1,1,1,2,1,60.3,4,116,4032,1680,1450,1350,985,5,2550,1488,1478
127,124140,128,783,2,1,1,1,6,MT,2,L,10-15W,13.3,1,1,1,1,2,1,116,4,200,4650,1850,1695,2050,1640,5,2700,1565,1565
128,289403,68,12,2,1,1,1,6,DCT,1.3,T,8-10W,9.5,1,1,1,1,2,1,95,4,185,4440,1833,1545,1773,1398,5,2700,1556,1562
129,961962,106,750,3,2,1,4,5,MT,1.6,L,8-10W,8.9,1,1,1,1,2,1,81,4,160,4487,1706,1470,1600,1120,5,2603,1460,1500
130,560265,34,923,2,3,3,1,5,MT,1.5,L,5-8W,-,2,1,1,1,1,1,75,4,135,4440,1700,1783,1790,1270,6月8日,2790,1420,1440
131,654134,169,290,2,1,1,7,5,AMT,1.8,L,8-10W,8.7,1,1,1,1,2,1,101,4,186,4620,1820,1750,1780,1410,5,2750,1554,1549
132,741152,55,761,2,1,1,2,6,AT,2,T,20-25W,24.3,3,1,1,1,2,1,186,4,353,4667,1839,1663,2230,1755,5,2750,1584,1588
133,291086,9,761,3,2,2,2,6,AT,2,T,20-25W,16.6,1,1,1,1,2,1,184,4,350,4834,1856,1494,2095,1660,5,2737,1585,1588
134,349023,49,450,2,2,1,2,6,AT,1.6,L,10-15W,14,1,1,1,1,2,1,86,4,155,4510,1797,1477,1803,1395,5,2685,1545,1567
135,349023,19,450,3,2,1,2,5,MT,1.5,L,10-15W,14,1,1,1,1,2,1,84,4,146,4567,1786,1456,1700,1225,5,2662,1540,1558
136,349023,204,450,3,2,1,2,6,AT,1.5,L,10-15W,14,1,1,1,1,2,1,84,4,146,4567,1786,1455,1700,1260,5,2662,1540,1558
137,961962,32,750,3,2,1,4,5,MT,1.4,L,8-10W,8.9,1,1,1,1,2,1,66,4,132,4487,1706,1470,1600,1120,5,2603,1460,1500
138,289386,382,813,3,2,1,5,6,AT,1.5,L,10-15W,15,1,1,1,1,2,1,86,4,148,4582,1795,1458,1820,1286,5,2700,1555,1560
139,580634,147,692,2,2,1,5,0,CVT,1.6,L,10-15W,11.7,1,1,1,1,2,1,93,4,154,4393,1766,1524,1625,1224,5,2700,1540,1540
140,416749,7,537,2,1,3,5,6,MT,1.5,L,10-15W,12.3,1,1,1,1,2,1,96,4,155,4270,1772,1605,1775,1197,5,2610,1540,1530
141,651347,9,537,2,2,3,5,0,CVT,1.5,L,8-10W,8.4,1,1,1,1,2,1,96,4,155,4065,1695,1525,1500,1105,5,2530,1480,1465
142,492952,8,692,3,2,1,5,0,CVT,1.6,L,10-15W,13.2,1,1,1,1,2,1,93,4,154,4683,1780,1465,1670,1260,5,2700,1530,1530
143,409854,611,638,2,1,1,1,6,AT,1.5,T,10-15W,13.1,1,1,1,1,2,1,110,4,210,4649,1852,1710,2064,1560,5,2680,1565,1565
144,409854,112,638,2,1,1,1,6,AT,1.5,T,10-15W,13.1,1,1,1,1,2,1,110,4,210,4681,1827,1710,2064,1560,5,2680,1565,1565
145,409854,198,638,2,1,1,1,6,MT,1.5,T,10-15W,13.1,1,1,1,1,2,1,110,4,210,4640,1825,1745,2051,1541,5,2680,1565,1565
146,948936,54,512,2,1,1,1,5,MT,1.5,L,5-8W,7,2,1,1,1,2,1,83,4,150,4520,1790,1750,1960,1435,6月7日,2700,1450,1480
147,603972,44,872,3,2,4,4,7,DCT,3,T,50-75W,33.5,3,1,1,1,2,2,200,6,400,5036,1874,1480,2460,1960,5,3012,1630,1620
148,209945,433,814,3,2,4,4,8,AT,2,T,35-50W,54.2,2,1,1,1,2,2,178,4,310,5055,1860,1491,2250,1790,5,3108,1600,1627
149,510309,16,953,2,1,2,4,9,AT,2,T,35-50W,44.3,3,1,1,1,2,2,135,4,300,4661,1898,1664,2315,1850,5,2873,1617,1613
150,745137,49,637,2,2,1,2,5,MT,1.6,L,10-15W,13.2,1,1,1,1,2,1,94,4,159,4368,1823,1483,1676,1301,5,2648,1553,1544
151,304458,208,106,3,2,1,5,0,CVT,1.6,L,10-15W,10.4,1,1,1,1,2,1,90,4,154,4630,1775,1480,1770,1285,5,2700,1535,1535
152,492952,47,692,3,2,1,5,0,CVT,1.6,L,10-15W,10.3,1,1,1,1,2,1,93,4,154,4683,1780,1465,1670,1260,5,2700,1530,1530
153,597927,409,831,3,2,2,3,7,DCT,1.6,T,15-20W,16.7,1,1,1,1,2,1,132.4,4,265,4855,1860,1475,1990,1541,5,2805,1602,1609
154,472603,42,985,3,2,1,6,6,AT,1.8,L,10-15W,13.5,1,1,1,1,2,1,102,4,172,4750,1820,1488,1790,1370,5,2730,1555,1550
155,651347,9,537,2,2,3,5,5,MT,1.5,L,8-10W,9.5,1,1,1,1,2,1,96,4,155,4065,1695,1525,1470,1058,5,2530,1480,1465
156,745137,16,637,2,2,1,2,6,AT,1,T,10-15W,13.2,1,1,1,1,2,1,94,3,170,4368,1823,1483,1734,1359,5,2648,1553,1544
157,745137,8,637,3,2,1,2,5,MT,1,T,10-15W,13.2,1,1,1,1,2,1,94,3,170,4534,1823,1483,1689,1314,5,2648,1553,1544
158,437598,6,638,2,1,1,1,6,MT,2,T,10-15W,13,1,1,1,1,2,1,145,4,315,4545,1835,1700,2210,1700,5,2720,1565,1565
159,961962,69,750,3,2,1,4,6,AT,1.6,L,8-10W,8.9,1,1,1,1,2,1,81,4,155,4487,1706,1470,1650,1160,5,2603,1460,1500
160,384924,50,761,3,2,2,2,6,AT,2,T,20-25W,24.7,1,1,1,1,2,1,187,4,350,5018,1866,1461,2060,1580,5,2905,1599,1602
161,378356,392,497,3,2,1,1,5,MT,1.5,L,8-10W,7.2,1,1,1,1,2,1,85,4,141,4572,1825,1482,1640,1265,5,2670,1556,1542
162,905745,6,761,2,1,3,2,6,AT,1.4,T,10-15W,13.2,1,1,1,1,2,1,103,4,200,4278,1774,1646,1840,1430,5,2555,1540,1540
163,603972,334,872,3,2,4,4,7,DCT,1.8,T,50-75W,33.5,1,1,1,1,2,2,140,4,320,5036,1874,1480,2250,1750,5,3012,1630,1620
164,245609,11,750,2,2,1,4,5,MT,1.4,T,15-20W,15.4,1,1,1,1,2,1,96,4,225,4348,1807,1574,1850,1395,5,2680,1549,1521
165,245609,17,750,2,2,1,4,7,DCT,1.4,T,15-20W,15.4,1,1,1,1,2,1,110,4,250,4348,1807,1574,1885,1430,5,2680,1549,1521
166,409854,843,638,2,1,1,1,6,AT,1.5,T,10-15W,13.5,1,1,1,1,2,1,110,4,210,4649,1852,1710,2064,1560,5,2680,1565,1565
167,743957,57,450,3,2,1,2,5,MT,1.5,L,10-15W,8.4,1,1,1,1,2,1,80,4,141,4544,1779,1467,1620,1185,5,2600,1538,1539
168,425432,9,750,3,2,1,4,7,DCT,1.4,T,10-15W,11.2,1,1,1,1,2,1,110,4,250,4605,1765,1460,1810,1300,5,2610,1517,1493
